popularity,vote_count_x,vote_average_x,release_date,original_language_x,genre_ids,belongs_to_collection,budget,production_companies,production_countries,revenue,day_of_week,month,quarter,en_int_lang,collection
28.813000000000002,2466.0,5.3,2018-09-05,en,Adventure|Horror|Action|Comedy|Thriller|Science Fiction|,Predator Collection,88000000.0,Davis Entertainment,CA,160542134.0,2,9,3,en,Collection
10.870999999999999,1313.0,6.2,2018-09-13,en,Comedy|,Johnny English Collection,25000000.0,Universal Pictures,FR,158256993.0,3,9,3,en,Collection
18.459,3888.0,6.5,2018-02-28,en,Thriller|Mystery|,na,69000000.0,Soundtrack New York,US,147988192.0,2,2,1,en,Collection
15.94,2784.0,6.8,2018-11-21,en,Drama|,Creed Collection,50000000.0,Metro-Goldwyn-Mayer,US,137944327.0,2,11,4,en,Collection
16.759,2178.0,5.8,2018-07-04,en,Horror|Action|Thriller|Science Fiction|,The Purge Collection,13000000.0,Platinum Dunes,US,137056262.0,2,7,3,en,Collection
11.439,1206.0,5.0,2018-03-08,en,Adventure|Fantasy|Science Fiction|Family|,na,103000000.0,Whitaker Entertainment,US,132675864.0,3,3,1,en,Collection
2.399,945.0,7.4,2018-12-14,ja,Animation|Action|Science Fiction|,Dragon Ball Super Collection,1000000.0,Toei Animation,JP,125002821.0,4,12,4,int,Collection
21.604,2722.0,6.2,2018-01-11,en,Action|Thriller|,na,30000000.0,StudioCanal,FR,119942387.0,3,1,1,en,Collection
19.113,3278.0,6.9,2018-02-22,en,Comedy|Crime|Mystery|,na,37000000.0,New Line Cinema,US,117501013.0,3,2,1,en,Collection
3.8169999999999997,51.0,6.1,2018-11-29,ta,Action|Science Fiction|,Robot Collection,77000000.0,Lyca Productions,IN,114629169.0,3,11,4,int,Collection
5.524,68.0,7.7,2018-08-01,ko,Fantasy|Drama|Action|,Along with the Gods Collection,18300000.0,Lotte Entertainment,KR,112790210.0,2,8,3,int,Collection
25.365,2456.0,6.1,2018-11-27,en,Adventure|Fantasy|,na,100000000.0,Scholastic Productions,NZ,104236467.0,1,11,4,en,Collection
17.977999999999998,2509.0,6.5,2018-07-19,en,Action|Thriller|Crime|,The Equalizer Collection,62000000.0,Mace Neufeld Productions,US,102084362.0,3,7,3,en,Collection
20.945999999999998,3041.0,7.1,2018-10-11,en,Drama|History|,na,70000000.0,DreamWorks Pictures,US,100546153.0,3,10,4,en,Collection
19.47,2027.0,6.8,2018-06-28,en,Fantasy|Animation|Comedy|Family|,Hotel Transylvania Collection,80000000.0,Columbia Pictures,US,100176000.0,3,6,2,en,Collection
2.0140000000000002,9.0,6.1,2018-06-01,te,Horror|Comedy|Thriller|,na,1000000.0,UV Creations,na,100000000.0,4,6,2,int,Collection
0.65,0.0,0.0,2018-02-22,fa,Comedy|Crime|,na,15000.0,Pooya film,na,100000000.0,3,2,1,int,Collection
12.716,1641.0,7.4,2018-08-02,en,Adventure|Fantasy|Comedy|Family|,na,75000000.0,Walt Disney Pictures,US,99138899.0,3,8,3,en,Collection
16.592,2376.0,5.9,2018-04-12,en,Horror|Thriller|,na,3500000.0,Blumhouse Productions,US,94841481.0,3,4,2,en,Collection
13.797,1169.0,6.2,2018-03-14,en,Comedy|,na,21000000.0,Hurwitz & Schlossberg Productions,US,94017294.0,2,3,1,en,Collection
14.042,634.0,5.7,2018-10-11,en,Adventure|Fantasy|Horror|Comedy|Family|,Goosebumps Collection,35000000.0,Columbia Pictures,GB,92503612.0,3,10,4,en,Collection
3.1489999999999996,1.0,10.0,2018-08-04,ja,Adventure|Action|Science Fiction|,na,0.0,"Toei Company, Ltd.",JP,92108679.0,5,8,3,int,Collection
1.4,3.0,7.3,2018-09-30,zh,Drama|Action|War|,na,43069413.0,na,CN,91708374.0,6,9,3,int,Collection
24.254,686.0,6.4,2018-05-03,en,Comedy|Romance|,na,12000000.0,Pantelion Film,US,91244913.0,3,5,2,en,Collection
1.837,2.0,8.0,2018-02-16,zh,Adventure|Animation|Comedy|,na,0.0,Fantawild Animation Inc.,CN,88726207.0,4,2,1,int,Collection
11.489,411.0,5.5,2018-03-15,en,Fantasy|Animation|Family|,Gnomeo & Juliet Collection,59000000.0,Rocket Pictures,GB,87625666.0,3,3,1,en,Collection
9.937999999999999,206.0,7.5,2018-02-14,en,Drama|History|Music|Family|,na,7000000.0,Kevin Downes Productions,US,86026201.0,2,2,1,en,Collection
7.805,82.0,6.4,2018-07-27,zh,Adventure|Fantasy|Action|Mystery|,Detective Dee Collection,0.0,Huayi Brothers,CN,84168923.0,4,7,3,int,Collection
14.392999999999999,2883.0,7.6,2018-11-23,en,Drama|Comedy|History|,na,15000000.0,Waypoint Entertainment,IE,82124805.0,4,11,4,en,Collection
6.772,141.0,6.9,2018-01-25,hi,Drama|History|Music|Romance|War|,na,31000000.0,Bhansali Productions,IN,81673897.0,3,1,1,int,Collection
20.935,1478.0,6.6,2018-01-18,en,Action|Thriller|Crime|,na,30000000.0,Atmosphere Entertainment MM,US,80509622.0,3,1,1,en,Collection
20.88,3372.0,7.1,2018-06-07,en,Horror|Thriller|Mystery|,na,10000000.0,PalmStar Media,US,79336821.0,3,6,2,en,Collection
8.049,407.0,6.1,2018-05-18,en,Drama|Comedy|Romance|,na,10000000.0,June Pictures,US,78720293.0,4,5,2,en,Collection
19.874000000000002,1632.0,6.7,2018-06-27,en,Drama|Action|Thriller|Crime|,Sicario Collection,35000000.0,Black Label Media,US,75836683.0,2,6,2,en,Collection
14.345999999999998,1594.0,6.7,2018-05-30,en,Drama|Comedy|,na,28000000.0,New Line Cinema,US,75100000.0,2,5,2,en,Collection
12.460999999999999,1276.0,6.5,2018-11-06,en,Thriller|Crime|,na,42000000.0,New Regency Pictures,US,73866088.0,1,11,4,en,Collection
23.345,1664.0,5.8,2018-11-21,en,Adventure|Action|Thriller|,na,100000000.0,Appian Way,US,73260114.0,2,11,4,en,Collection
